title	author	arxiv	type
Diversiﬁed Multiple Instance Learning for Document-Level Multi-Aspect Sentiment Classiﬁcation	Yunjie Ji, Hao Liu, Bolei He, Xinyan Xiao, Hua Wu and Yanhua Yu	N/A	long
Do “Undocumented Immigrants” == “Illegal Aliens”? Differentiating Denotation and Connotation in Vector Space	Albert Webson, Zhizhong Chen, Carsten Eickhoff and Ellie Pavlick	N/A	long
Do sequence-to-sequence VAEs learn global features of sentences?	Tom Bosc and Pascal Vincent	https://arxiv.org/abs/2004.07683	long
doc2dial: A Goal-Oriented Document-Grounded Dialogue Dataset	Song Feng, Hui Wan, Chulaka Gunasekara, Siva Patel, Sachindra Joshi and Luis Lastras	N/A	long
Does my multimodal model learn cross-modal interactions? It’s harder to tell than you might think!	Jack Hessel and Lillian Lee	N/A	long
Domain Knowledge Empowered Structured Neural Net for End-to-End Event Temporal Relation Extraction	Rujun Han, Yichao Zhou and Nanyun Peng	https://arxiv.org/abs/2009.07373	long
Don't Read Too Much Into It: Adaptive Computation for Open-Domain Question Answering	Yuxiang Wu, Sebastian Riedel, Pasquale Minervini and Pontus Stenetorp	N/A	long
DORB: Dynamically Optimizing Multiple Rewards with Bandits	Ramakanth Pasunuru, Han Guo and Mohit Bansal	N/A	long
Double Graph Based Reasoning for Document-level Relation Extraction	Shuang Zeng, Runxin Xu, Baobao Chang and Lei Li	https://arxiv.org/abs/2009.13752	long
DualTKB: A Dual Learning Bridge between Text and Knowledge Base	Pierre Dognin, Igor Melnyk, Inkit Padhi, Cícero Nogueira dos Santos and Payel Das	N/A	long
DyERNIE: Dynamic Evolution of Riemannian Manifold Embeddings for Temporal Knowledge Graph Completion	Zhen Han, Peng Chen, Yunpu Ma and Volker Tresp	N/A	long
Dynamic Anticipation and Completion for Multi-Hop Reasoning over Sparse Knowledge Graph	Xin Lv, Xu Han, Lei Hou, Juanzi Li, Zhiyuan Liu, Wei Zhang, YICHI ZHANG, Hao Kong and Suhui Wu	https://arxiv.org/abs/2010.01899	long
Dynamic Context Selection for Document-level Neural Machine Translation via Reinforcement Learning	Xiaomian Kang, Yang Zhao, Jiajun Zhang and Chengqing Zong	https://arxiv.org/abs/2010.04314	long
Dynamic Data Selection and Weighting for Iterative Back-Translation	Zi-Yi Dou, Antonios Anastasopoulos and Graham Neubig	https://arxiv.org/abs/2004.03672	long
Effective Unsupervised Domain Adaptation with Adversarially Trained Language Models	Thuy-Trang Vu, Dinh Phung and Gholamreza Haffari	https://arxiv.org/abs/2010.01739	long
Efficient Meta Lifelong-Learning with Limited Memory	Zirui Wang, Sanket Vaibhav Mehta, Barnabas Poczos and Jaime Carbonell	https://arxiv.org/abs/2010.02500	long
Eliciting Knowledge from Language Models Using Automatically Generated Prompts	Taylor Shin, Yasaman Razeghi, Robert L Logan IV, Eric Wallace and Sameer Singh	N/A	long
Embedding Words in Non-Vector Space with Unsupervised Graph Learning	Maksim Riabinin, Sergei Popov, Liudmila Prokhorenkova and Elena Voita	https://arxiv.org/abs/2010.02598	long
Enabling Cross-Lingual AMR Parsing with Transfer Learning Techniques	Rexhina Blloshmi, Rocco Tripodi and Roberto Navigli	N/A	long
End-to-End Emotion-Cause Pair Extraction based on Sliding Window Multi-Label Learning	Zixiang Ding, Rui Xia and Jianfei Yu	https://arxiv.org/abs/2002.10710	long
End-to-End Slot Alignment and Recognition for Cross-Lingual {NLU}	Weijia Xu, Batool Haider and Saab Mansour	https://arxiv.org/abs/2004.14353	long
End-to-End Synthetic Data Generation for Domain Adaptation of Question Answering Systems	Siamak Shakeri, Cícero Nogueira dos Santos, Henghui Zhu, Patrick Ng, Feng Nan, Zhiguo Wang, Ramesh Nallapati and Bing Xiang	https://arxiv.org/abs/2010.06028	long
Enhancing Aspect Term Extraction with Soft Prototypes	Zhuang Chen and Tieyun Qian	N/A	long
Ensemble Distillation for Structured Prediction: Calibrated, Accurate, Fast—Choose Three	Steven Reich, David Mueller and Nicholas Andrews	http://arxiv.org/abs/2010.06721	long
Entities as Experts: Sparse Memory Access with Entity Supervision	Thibault Févry, Livio Baldini Soares, Nicholas FitzGerald, Eunsol Choi and Tom Kwiatkowski	https://arxiv.org/abs/2004.07202	long
Entity Enhanced BERT Pre-training for Chinese NER	Chen Jia, Yuefeng Shi, Qinrong Yang and Yue Zhang	N/A	long
Entity Linking in 100 Languages	Jan A. Botha, Zifei Shan and Daniel Gillick	N/A	long
ETC: Encoding Long and Structured Inputs in Transformers	Joshua Ainslie, Santiago Ontanon, Chris Alberti, Vaclav Cvicek, Zachary Fisher, Philip Pham, Anirudh Ravula, Sumit Sanghai, Qifan Wang and Li Yang	https://arxiv.org/abs/2004.08483	long
Evaluating and Characterizing Human Rationales	Samuel Carton, Anirudh Rathore and Chenhao Tan	https://arxiv.org/abs/2010.04736	long
Evaluating the Calibration of Knowledge Graph Embeddings for Trustworthy Link Prediction	Tara Safavi, Danai Koutra and Edgar Meij	https://arxiv.org/abs/2004.01168	long
Evaluating the Factual Consistency of Abstractive Text Summarization	Wojciech Kryscinski, Bryan McCann, Caiming Xiong and Richard Socher	https://arxiv.org/abs/1910.12840	long
Event Extraction as Machine Reading Comprehension	Jian Liu, Yubo Chen, Kang Liu, Wei Bi and Xiaojiang Liu	N/A	long
Event Extraction by Answering (Almost) Natural Questions	Xinya Du and Claire Cardie	https://arxiv.org/abs/2004.13625	long
EXAMS: A Multi-subject High School Examinations Dataset for Cross-lingual and Multilingual Question Answering	Momchil Hardalov, Todor Mihaylov, Dimitrina Zlatkova, Yoan Dinkov, Ivan Koychev and Preslav Nakov	N/A	long
Experience Grounds Language	Yonatan Bisk, Ari Holtzman, Jesse Thomason, Jacob Andreas, Yoshua Bengio, Joyce Chai, Mirella Lapata, Angeliki Lazaridou, Jonathan May, Aleksandr Nisnevich, Nicolas Pinto and Joseph Turian	https://arxiv.org/abs/2004.10151	long
Explainable Automated Fact-Checking for Public Health Claims	Neema Kotonya and Francesca Toni	N/A	long
Explainable Clinical Decision Support from Text	Jinyue Feng, Chantal Shaib and Frank Rudzicz	N/A	long
Exploiting Structured Knowledge in Text via Graph-Guided Representation Learning	Tao Shen, Yi Mao, Pengcheng He, Guodong Long, Adam Trischler and Weizhu Chen	https://arxiv.org/abs/2004.14224	long
Exploring and Evaluating Attributes, Values, and Structure for Entity Alignment	Zhiyuan Liu, Yixin Cao, Liangming Pan, Juanzi Li, Zhiyuan Liu and Tat-Seng Chua	https://arxiv.org/abs/2010.03249	long
Exploring and Predicting Transferability across NLP Tasks	Tu Vu, Tong Wang, Tsendsuren Munkhdalai, Alessandro Sordoni, Adam Trischler, Andrew Mattarella-Micke, Subhransu Maji and Mohit Iyyer	https://arxiv.org/abs/2005.00770	long
Exploring Semantic Capacity of Terms	Jie Huang, Zilong Wang, Kevin Chang, Wen-mei Hwu and JinJun Xiong	https://arxiv.org/abs/2010.01898	long
Exploring the Linear Subspace Hypothesis in Gender Bias Mitigation	Francisco Vargas and Ryan Cotterell	https://arxiv.org/abs/2009.09435	long
Extracting Implicitly Asserted Propositions in Argumentation	Yohan Jo, Jacky Visser, Chris Reed and Eduard Hovy	https://arxiv.org/abs/2010.02654	long
F^2-Softmax: Diversifying Neural Text Generation via Frequency Factorized Softmax	Byung-Ju Choi, Jimin Hong, David Park and Sang Wan Lee	https://arxiv.org/abs/2009.09417	long
F1 is Not Enough! Models and Evaluation Towards User-Centered Explainable Question Answering	Hendrik Schuff, Heike Adel and Ngoc Thang Vu	https://arxiv.org/abs/2010.06283	long
Facilitating the Communication of Politeness through Fine-Grained Paraphrasing	Liye Fu, Susan Fussell and Cristian Danescu-Niculescu-Mizil	N/A	long
Fact or Fiction: Verifying Scientific Claims	David Wadden, Shanchuan Lin, Kyle Lo, Lucy Lu Wang, Madeleine van Zuylen, Arman Cohan and Hannaneh Hajishirzi	https://arxiv.org/abs/2004.14974	long
Fast semantic parsing with well-typedness guarantees	Matthias Lindemann, Jonas Groschwitz and Alexander Koller	https://arxiv.org/abs/2009.07365	long
Feature Adaptation of Pre-Trained Language Models across Languages and Domains with Robust Self-Training	Hai Ye, Qingyu Tan, Ruidan He, Juntao Li, Hwee Tou Ng and Lidong Bing	https://arxiv.org/abs/2009.11538	long
FedED: Federated Learning via Ensemble Distillation for Medical Relation Extraction	Dianbo Sui, Yubo Chen, Jun Zhao, Yantao Jia, Yuantao Xie and Weijian Sun	https://arxiv.org/abs/1910.03581	long
Few-shot Complex Knowledge Base Question Answering via Meta Reinforcement Learning	Yuncheng Hua, Yuan-Fang Li, Gholamreza Haffari, Guilin Qi and Tongtong Wu	N/A	long
Few-Shot Learning for Opinion Summarization	Arthur Bražinskas, Mirella Lapata and Ivan Titov	https://arxiv.org/abs/2004.14884	long
Filtering Noisy Dialogue Corpora by Connectivity and Content Relatedness	Reina Akama, Sho Yokoi, Jun Suzuki and Kentaro Inui	https://arxiv.org/abs/2004.14008	long
Form2Seq : A Framework for Higher-Order Form Structure Extraction	Milan Aggarwal, Hiresh Gupta, Mausoom Sarkar and Balaji Krishnamurthy	https://arxiv.org/abs/1911.12170?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A+arxiv%252FQSXk+%2528ExcitingAds%2521+cs+updates+on+arXiv.org%2529	long
Friendly Topic Assistant for Transformer Based Abstractive Summarization	Zhengjue Wang, Zhibin Duan, Hao Zhang, chaojie wang, long tian, Bo Chen and Mingyuan Zhou	N/A	long
From Zero to Hero: On the Limitations of Zero-Shot Language Transfer with Multilingual Transformers	Anne Lauscher, Vinit Ravishankar, Ivan Vulić and Goran Glavaš	https://arxiv.org/abs/2005.00633	long
Frustratingly Simple Few-Shot Named Entity Recognition with Structured Nearest Neighbor Learning	Yi Yang and Arzoo Katiyar	https://arxiv.org/abs/2010.02405	long
Generating Dialogue Responses from a Semantic Latent Space	Wei-Jen Ko, Avik Ray, Yilin Shen and Hongxia Jin	N/A	long
Generating Diverse Translation from Model Distribution with Dropout	Xuanfu Wu, Yang Feng and Chenze Shao	https://arxiv.org/abs/1902.07816	long
Generating Fact Checking Briefs	Angela Fan, Aleksandra Piktus, Fabio Petroni, Guillaume Wenzek, Marzieh Saeidi, Andreas Vlachos, Antoine Bordes and Sebastian Riedel	N/A	long
Generating Image Descriptions via Sequential Cross-Modal Alignment Guided by Human Gaze	Ece Takmaz, Sandro Pezzelle, Lisa Beinborn and Raquel Fernández	N/A	long
Generating Radiology Reports via Memory-driven Transformer	Zhihong Chen, Yan Song, Tsung-Hui Chang and Xiang Wan	N/A	long
Generating similes e̶f̶f̶o̶r̶t̶l̶e̶s̶s̶l̶y̶ 𝘭𝘪𝘬𝘦 𝘢 𝘗𝘳𝘰: A Style Transfer Approach for Simile Generation	Tuhin Chakrabarty, Smaranda Muresan and Nanyun Peng	https://arxiv.org/abs/2009.08942	long
"Generationary or: ""How we Went Beyond Word Sense Inventories and Learned to Gloss"""	Michele Bevilacqua, Marco Maru and Roberto Navigli	N/A	long
Global-to-Local Neural Networks for Document-Level Relation Extraction	Difeng Wang, Wei Hu, Ermei Cao and Weijian Sun	https://arxiv.org/abs/2009.10359	long
GLUCOSE: GeneraLized and COntextualized Story Explanations	Nasrin Mostafazadeh, Aditya Kalyanpur, Lori Moon, David Buchanan, Lauren Berkowitz, Or Biran and Jennifer Chu-Carroll	https://arxiv.org/abs/2009.07758	long
Gone At Last: Removing the Hypothesis-Only Bias in Natural Language Inference via Ensemble Adversarial Training	Joe Stacey, Pasquale Minervini, Haim Dubossarsky, Sebastian Riedel and Tim Rocktäschel	https://arxiv.org/abs/2004.07790	long
GRADE: Automatic Graph-Enhanced Coherence Metric for Evaluating Open-Domain Dialogue Systems	Lishan Huang, Zheng Ye, Jinghui Qin, Liang Lin and Xiaodan Liang	https://arxiv.org/abs/2010.03994	long
Gradient-guided Unsupervised Lexically Constrained Text Generation	Lei Sha	N/A	long
Grammatical Error Correction in Low Error Density Domains: A New Benchmark and Analyses	Simon Flachs, Ophélie Lacroix, Helen Yannakoudakis, Marek Rei and Anders Søgaard	https://arxiv.org/abs/2010.07574	long
Graph Convolutions over Constituent Trees for Syntax-Aware Semantic Role Labeling	Diego Marcheggiani and Ivan Titov	https://arxiv.org/abs/1909.09814	long
GraphDialog: Integrating Graph Knowledge into End-to-End Task-Oriented Dialogue Systems	Shiquan Yang, Rui Zhang and Sarah Erfani	http://arxiv.org/abs/2010.01447	long
Grounded Adaptation for Zero-shot Executable Semantic Parsing	Victor Zhong, Mike Lewis, Sida I. Wang and Luke Zettlemoyer	https://arxiv.org/abs/2009.07396	long
Grounded Compositional Outputs for Adaptive Language Modeling	Nikolaos Pappas, Phoebe Mulcaire and Noah A. Smith	https://arxiv.org/abs/2009.11523	long
H2KGAT: Hierarchical Hyperbolic Knowledge Graph Attention Network	Shen Wang, Xiaokai Wei, Cícero Nogueira dos Santos, Zhiguo Wang, Ramesh Nallapati, Andrew Arnold, Bing Xiang and Philip S. Yu	N/A	long
HABERTOR: An Efficient and Effective Deep Hatespeech Detector	Thanh Tran, Yifan Hu, Changwei Hu, Kevin Yen, Fei Tan, Kyumin Lee and Se Rim Park	https://arxiv.org/abs/2005.06370	long
Hate-Speech and Offensive Language Detection in Roman Urdu	Hammad Rizwan, Muhammad Haroon Shakeel and Asim Karim	N/A	long
Help! Need Advice on Identifying Advice	Venkata Subrahmanyan Govindarajan, Benjamin Chen, Rebecca Warholic, Katrin Erk and Junyi Jessy Li	https://arxiv.org/abs/2010.02494	long
HENIN: Learning Heterogeneous Neural Interaction Networks for Explainable Cyberbullying Detection on Social Media	Chen Hsin-Yu and Cheng-Te Li	https://arxiv.org/abs/2010.04576	long
Hero: Hierarchical Encoder for Video+Language Omni-representation Pre-training	Linjie Li, Yen-Chun Chen, Yu Cheng, Zhe Gan, Licheng Yu and Jingjing Liu	https://arxiv.org/abs/2005.00200	long
Hierarchical Evidence Set Modeling for Automated Fact Extraction and Verification	Shyam Subramanian and Kyumin Lee	https://arxiv.org/abs/2010.05111	long
Hierarchical Graph Network for Multi-hop Question Answering	Yuwei Fang, Siqi Sun, Zhe Gan, Rohit Pillai, Shuohang Wang and Jingjing Liu	https://arxiv.org/abs/1911.03631	long
HIT: Nested Named Entity Recognition via Head-Tail Pair and Token Interaction	Yu Wang, Yun Li, Hanghang Tong and Ziye Zhu	https://arxiv.org/abs/1909.02250	long
How do Decisions Emerge across Layers in Neural Models? Interpretation with Differentiable Masking	Nicola De Cao, Michael Sejr Schlichtkrull, Wilker Aziz and Ivan Titov	https://arxiv.org/abs/2004.14992	long
Human-centric dialog training via offline reinforcement learning	Natasha Jaques, Judy Hanwen Shen, Asma Ghandeharioun, Craig Ferguson, Agata Lapedriza, Noah Jones, Shixiang Gu and Rosalind Picard	https://arxiv.org/abs/2010.05848	long
Human-in-the-loop Debugging Deep Text Classifiers	Piyawat Lertvittayakumjorn, Lucia Specia and Francesca Toni	https://arxiv.org/abs/2010.04987	long
STORIUM: A Dataset and Evaluation Platform for Machine-in-the-Loop Story Generation	Nader Akoury, Shufan Wang, Josh Whiting, Stephen Hood, Nanyun Peng and Mohit Iyyer	https://arxiv.org/abs/2010.01717	long
Identifying Elements Essential for BERT’s Multilinguality	Philipp Dufter and Hinrich Schütze	https://arxiv.org/abs/2005.00396	long
"""I’d rather just go to bed"": Understanding Indirect Answers"	Annie Louis, Dan Roth and Filip Radlinski	https://arxiv.org/abs/2010.03450	long
If beam search is the answer, what was the question?	Clara Meister, Ryan Cotterell and Tim Vieira	https://arxiv.org/abs/2010.02650	long
IGSQL: Database Schema Interaction Graph Based Neural Model for Context-Dependent Text-to-SQL Generation	Yitao Cai and Xiaojun Wan	N/A	long
IGT2P: From Interlinear Glossed Texts to Paradigms	Sarah Moeller, Ling Liu, Changbing Yang, Katharina Kann and Mans Hulden	N/A	long
IIRC: A Dataset of Incomplete Information Reading Comprehension Questions	James Ferguson, Matt Gardner, Hannaneh Hajishirzi, Tushar Khot and Pradeep Dasigi	N/A	long
Imitation Attacks and Defenses for Black-box Machine Translation Systems	Eric Wallace, Mitchell Stern and Dawn Song	https://arxiv.org/abs/2004.15015	long
Improving AMR parsing with Sequence-to-Sequence Pre-training	Dongqin Xu, Junhui Li, Muhua Zhu, Min Zhang and Guodong Zhou	https://arxiv.org/abs/2010.01771	long
Improving Detection and Categorization of Task-relevant Utterances through Integration of Discourse Structure and Ontological Knowledge	Sopan Khosla, Shikhar Vashishth, Jill Fain Lehman and Carolyn Rose	N/A	long
Improving Grammatical Error Correction Models with Purpose-Built Adversarial Examples	Lihao Wang and Xiaoqing Zheng	https://arxiv.org/abs/1911.02825	long
Improving Neural Topic Models using Knowledge Distillation	Alexander Miserlis Hoyle, Pranav Goel and Philip Resnik	https://arxiv.org/abs/2010.02377	long
Improving Out-of-Scope Detection in Intent Classification by Using Embeddings of the Word Graph Space of the Classes	Paulo Cavalin, Victor Henrique Alves Ribeiro, Ana Appel and Claudio Pinhanez	N/A	long
Improving Text Generation with Student-Forcing Optimal Transport	Jianqiao Li, Chunyuan Li, Guoyin Wang, Hao Fu, Yuhchen Lin, Liqun Chen, Yizhe Zhang, Chenyang Tao, Ruiyi Zhang, Wenlin Wang, Dinghan Shen, Qian Yang and Lawrence Carin	https://arxiv.org/abs/2010.05994	long
Improving Word Sense Disambiguation with Translations	Yixing Luan, Bradley Hauer, Lili Mou and Grzegorz Kondrak	N/A	long
Incomplete Utterance Rewriting as Semantic Segmentation	Qian Liu, Bei Chen, Jian-Guang LOU, Bin Zhou and Dongmei Zhang	https://arxiv.org/abs/2009.13166	long
Incorporating Multimodal Information in Open-Domain Web Keyphrase Extraction	Yansen Wang, Zhen Fan and Carolyn Rose	N/A	long
Incremental Event Detection via Knowledge Consolidation Networks	Pengfei Cao, Yubo Chen, Jun Zhao and Taifeng Wang	https://arxiv.org/pdf/1907.11229	long
Incremental Processing in the Age of Non-Incremental Encoders: An Empirical Assessment of Bidirectional Models for Incremental NLU	Brielen Madureira and David Schlangen	https://arxiv.org/abs/2010.05330	long
Inducing Target-specific Latent Structures for Aspect Sentiment Classification	Chenhua Chen, Zhiyang Teng and Yue Zhang	https://arxiv.org/pdf/1909.07593	long
Information Seeking in the Spirit of Learning: a Dataset for Conversational Curiosity	Pedro Rodriguez, Paul Crook, Seungwhan Moon and Zhiguang Wang	https://arxiv.org/abs/2005.00172	long
Information-Theoretic Probing with Minimum Description Length	Elena Voita and Ivan Titov	N/A	long
Infusing Disease Knowledge into BERT for Health Question Answering, Medical Inference and Disease Name Recognition	Yun He, Ziwei Zhu, Yin Zhang, Qin Chen and James Caverlee	https://arxiv.org/abs/2010.03746	long
Inquisitive Question Generation for High Level Text Comprehension	Wei-Jen Ko, TE-YUAN CHEN, Yiyan Huang, Greg Durrett and Junyi Jessy Li	https://arxiv.org/abs/2010.01657	long
INSPIRED: Toward Sociable Recommendation Dialog Systems	Shirley Anugrah Hayati, Dongyeop Kang, Qingxiaoyang Zhu, Weiyan Shi and Zhou Yu	https://arxiv.org/abs/2009.14306	long
Interactive Fiction Game Playing as Multi-Paragraph Reading Comprehension with Reinforcement Learning	Xiaoxiao Guo, Mo Yu, Yupeng Gao, Chuang Gan, Murray Campbell and Shiyu Chang	https://arxiv.org/abs/2010.02386	long
Interactive Refinement of Cross-Lingual Word Embeddings	Michelle Yuan, Mozhi Zhang, Benjamin Van Durme, Leah Findlater and Jordan Boyd-Graber	https://arxiv.org/abs/1911.03070	long
Interpretable Multi-dataset Evaluation for Named Entity Recognition	Jinlan Fu, Pengfei Liu and Graham Neubig	N/A	long
Interpretation of NLP models through input marginalization	Siwon Kim, Jihun Yi, Eunji Kim and Sungroh Yoon	N/A	long
Interpreting Open-Domain Modifiers: Decomposition of Wikipedia Categories into Disambiguated Property-Value Pairs	Marius Pasca	N/A	long
Interview: Large-scale Modeling of Media Dialog with Discourse Patterns and Knowledge Grounding	Bodhisattwa Prasad Majumder, Shuyang Li, Jianmo Ni and Julian McAuley	N/A	long
Intrinsic Evaluation of Summarization Datasets	Rishi Bommasani and Claire Cardie	N/A	long
Intrinsic Probing through Dimension Selection	Lucas Torroba Hennigen, Adina Williams and Ryan Cotterell	https://arxiv.org/abs/2010.02812	long
Introducing Syntactic Structures into Target Opinion Word Extraction with Deep Learning	Amir Pouran Ben Veyseh, Nasim Nouri, Franck Dernoncourt, Dejing Dou and Thien Huu Nguyen	N/A	long
Investigating Cross-Linguistic Adjective Ordering Tendencies with a Latent-Variable Model	Jun Yen Leung, Guy Emerson and Ryan Cotterell	https://arxiv.org/abs/2010.04755	long
Investigating Lexical Variability in Language Models	Charles Yu, Ryan Sie, Nicolas Tedeschi and Leon Bergen	N/A	long
Is Chinese Word Segmentation a Solved Task? Rethinking Neural Chinese Word Segmentation	Jinlan Fu, Pengfei Liu, Qi Zhang and Xuanjing Huang	https://arxiv.org/abs/1911.12982	long
Is Multihop QA in DiRe Condition? Measuring and Reducing Disconnected Reasoning	Harsh Trivedi, Niranjan Balasubramanian, Tushar Khot and Ashish Sabharwal	https://arxiv.org/abs/2005.00789	long
ISAAQ - Mastering Textbook Questions with Pre-trained Transformers and Bottom-Up and Top-Down Attention	Jose Manuel Gomez-Perez and Raúl Ortega	https://arxiv.org/abs/2010.00562	long
Iterative Domain-Repaired Back-Translation	Hao-Ran Wei, Zhirui Zhang, Boxing Chen and Weihua Luo	https://arxiv.org/abs/2010.02473	long
Iterative Language-Based Image Editing via Self-Supervised Counterfactual Reasoning	Tsu-Jui Fu, Xin Wang, Scott Grafton, Miguel Eckstein and William Yang Wang	https://arxiv.org/abs/2009.09566	long
Iterative Refinement in the Continuous Space for Non-Autoregressive Neural Machine Translation	Jason Lee, Raphael Shu and Kyunghyun Cho	https://arxiv.org/abs/2009.07177	long
Joint Constrained Learning for Event-Event Relation Extraction	Haoyu Wang, Muhao Chen, Hongming Zhang and Dan Roth	http://arxiv.org/abs/2010.06727	long
Joint Estimation and Analysis of Risk Behavior Ratings in Movie Scripts	Victor Martinez, Krishna Somandepalli, Yalda Tehranian-Uhls and Shrikanth Narayanan	N/A	long
Keep CALM and Explore: Language Models for Action Generation in Text-based Games	Shunyu Yao, Rohan Rao, Matthew Hausknecht and Karthik Narasimhan	https://arxiv.org/abs/2010.02903	long
Keeping Up Appearances: Computational Modeling of Face Acts in Persuasion Oriented Discussions	Ritam Dutt, Rishabh Joshi and Carolyn Rose	https://arxiv.org/abs/2009.10815	long
KERMIT: Complementing Transformer Architectures with Encoders of Explicit Syntactic Interpretations	Fabio Massimo Zanzotto, Andrea Santilli, Leonardo Ranaldi, Dario Onorati, Pierfrancesco Tommasino and Francesca Fallucchi	N/A	long
KGLM: Pretrained Knowledge-Grounded Language Model for Data-to-Text Generation	Wenhu Chen, Yu Su, Xifeng Yan and William Yang Wang	https://arxiv.org/abs/2010.02307	long
Knowledge Association with Hyperbolic Knowledge Graph Embeddings	Zequn Sun, Muhao Chen, Wei Hu, Chengming Wang, Jian Dai and Wei Zhang	https://arxiv.org/abs/2010.02162	long
Knowledge Graph Alignment with Entity-Pair Embedding	Zhichun Wang, Jinjian Yang and Xiaoju Ye	N/A	long
Knowledge Graph Empowered Entity Description Generation	Liying Cheng, Dekun Wu, Lidong Bing, Yan Zhang, Zhanming Jie, Wei Lu and Luo Si	https://arxiv.org/abs/2004.14813	long
Knowledge-Grounded Dialogue Generation with Pre-trained Language Models	Xueliang Zhao, wei wu, Can Xu, Chongyang Tao, Dongyan Zhao and Rui Yan	N/A	long
Knowledge-guided Open Attribute Value Extraction with Reinforcement Learning	Ye Liu, Sheng Zhang, Rui Song, Suo Feng and Yanghua Xiao	N/A	long
Language Generation with Multi-hop Reasoning on Commonsense Knowledge Graph	Haozhe Ji, Pei Ke, Shaohan Huang, Furu Wei, Xiaoyan Zhu and Minlie Huang	https://arxiv.org/abs/2009.11692	long
Language Model Prior for Low-Resource Neural Machine Translation	Christos Baziotis, Barry Haddow and Alexandra Birch	https://arxiv.org/abs/2004.14928	long
LAReQA: Language-agnostic answer retrieval from a multilingual pool	Uma Roy, Noah Constant, Rami Al-Rfou, Aditya Barua, Aaron Phillips and Yinfei Yang	https://arxiv.org/abs/2004.05484	long
Latent Geographical Factors for Analyzing the Evolution of Dialects in Contact	Yugo Murawaki	N/A	long
Learn to Cross-lingual Transfer with Meta Graph Learning Across Heterogeneous Languages	Zheng Li, Mukul Kumar, William Headden, Bing Yin, Ying Wei, Yu Zhang and Qiang Yang	https://arxiv.org/abs/2003.02739	long
Learning a Cost-Effective Annotation Policy for Question Answering	Bernhard Kratzwald, Stefan Feuerriegel and Huan Sun	https://arxiv.org/abs/2010.03476	long
Learning a Simple and Effective Model for Multi-turn Response Generation with Auxiliary Tasks	YUFAN ZHAO, Can Xu and wei wu	https://arxiv.org/abs/2004.01972	long
Learning Adaptive Segmentation Policy for Simultaneous Translation	Ruiqing Zhang, Chuanqiang Zhang, Zhongjun He, Hua Wu and Haifeng Wang	N/A	long
Learning Explainable Linguistic Expressions with Neural Inductive Logic Programming for Sentence Classification	Prithviraj Sen, Marina Danilevsky, Yunyao Li, Siddhartha Brahma, Matthias Boehm, Laura Chiticariu and Rajasekar Krishnamurthy	N/A	long
Learning from Context or Names? An Empirical Study on Neural Relation Extraction	Hao Peng, Tianyu Gao, Xu Han, Yankai Lin, Peng Li, Zhiyuan Liu, Maosong Sun and Jie Zhou	https://arxiv.org/abs/2010.01923	long
Learning from Task Descriptions	Orion Weller, Nicholas Lourie, Matt Gardner and Matthew Peters	N/A	long
Learning Helpful Inductive Biases from Self-Supervised Pretraining	Alex Warstadt, Yian Zhang, Xiaocheng Li, Haokun Liu and Samuel R. Bowman	N/A	long
Learning Music Helps You Read: Using Transfer to Study Linguistic Structure in Language Models	Isabel Papadimitriou and Dan Jurafsky	https://arxiv.org/abs/2004.14601	long
Learning to Explain: Datasets and Models for Identifying Valid Reasoning Chains in Multihop Question-Answering	Harsh Jhamtani and Peter Clark	https://arxiv.org/abs/2010.03274	long
Learning to Pronounce Chinese Without a Pronunciation Dictionary	Christopher Chu, Scot Fang and Kevin Knight	https://arxiv.org/abs/2010.04744	long
Learning to Represent Image and Text with Denotation Graphs	Bowen Zhang, Hexiang Hu, Vihan Jain, Eugene Ie and Fei Sha	https://arxiv.org/abs/2010.02949	long
Learning VAE-LDA Models with Rounded Reparameterization Trick	Runzhi Tian, Yongyi Mao and Richong Zhang	https://arxiv.org/pdf/1703.01488	long
Learning Variational Word Masks to Improve the Interpretability of Neural Text Classifiers	Hanjie Chen and Yangfeng Ji	https://arxiv.org/abs/2010.00667	long
Less is More: Attention Supervision with Counterfactuals for Text Classification	Seungtaek Choi, Haeju Park, Jinyoung Yeo and Seung-won Hwang	https://arxiv.org/pdf/2004.09034	long
Let's Stop Error Propagation in the End-to-End Relation Extraction Literature!	Bruno Taillé, Vincent Guigue, Geoffrey Scoutheeten and patrick Gallinari	https://arxiv.org/abs/2009.10684	long
Leveraging Declarative Knowledge in Text and First-Order Logic for Fine-Grained Propaganda Detection	Ruize Wang, Duyu Tang, Nan Duan, Wanjun Zhong, Zhongyu Wei, Xuanjing Huang, Daxin Jiang and Ming Zhou	https://arxiv.org/abs/2004.14201	long
Lifelong Language Knowledge Distillation	Yung-Sung Chuang, Shang-Yu Su and Yun-Nung Chen	https://arxiv.org/abs/2010.02123	long
Lightweight, Dynamic Graph Convolutional Networks for AMR-to-Text Generation	Yan Zhang, Zhijiang Guo, Zhiyang Teng, Wei Lu, Shay B. Cohen, ZUOZHU LIU and Lidong Bing	https://arxiv.org/abs/2010.04383	long
Like hiking? You probably enjoy nature: Persona-grounded Dialog with Commonsense Expansions	Bodhisattwa Prasad Majumder, Harsh Jhamtani, Taylor Berg-Kirkpatrick and Julian McAuley	https://arxiv.org/abs/2010.03205	long
